"","segment_id","month","weekday","hour","max_speed","coordinates","X","Y","street","place","province","pct_up","lorry","pedestrian","bike","car","bucket0","bucket1","bucket2","bucket3","bucket4","bucket5","bucket6","bucket7","expectedfine","speederrisk","roadrisk","riskscore","expectedfinescaled"
"63",26408,1,"Monday",18,50,"[3.705401392751692, 51.035918198489846]",3.70540139275169,51.0359181984898,"Sint-Denijslaan","Gent","Oost-Vlaanderen",0.03,66,0,131,360,99,66,164,33,0,0,0,0,0,0,17.36,0.166430051415855,0
"64",26408,1,"Saturday",9,50,"[3.705401392751692, 51.035918198489846]",3.70540139275169,51.0359181984898,"Sint-Denijslaan","Gent","Oost-Vlaanderen",0.1125,6.25,2,13.75,111.5,0,7.5,35.25,52.25,13,2,0,3.75,612.4,0.3575,2.6525,0.0287775305041823,0.00391608510855988
"65",26408,1,"Saturday",10,50,"[3.705401392751692, 51.035918198489846]",3.70540139275169,51.0359181984898,"Sint-Denijslaan","Gent","Oost-Vlaanderen",0.7275,16,4.25,26,123,9.75,17,53.5,37.75,6.75,0.5,0.5,0.5,118.6,0.065,4.2025,0.0408401120405188,0.000758405770534294
"66",26408,1,"Saturday",11,50,"[3.705401392751692, 51.035918198489846]",3.70540139275169,51.0359181984898,"Sint-Denijslaan","Gent","Oost-Vlaanderen",0.785,18.25,7,22,171.75,16.5,25.75,83.75,39.75,7.25,1.25,0,1.5,254.5,0.1475,4.45,0.0440056403959788,0.0016274390269897
"67",26408,1,"Saturday",12,50,"[3.705401392751692, 51.035918198489846]",3.70540139275169,51.0359181984898,"Sint-Denijslaan","Gent","Oost-Vlaanderen",0.785,19.5,7,27.5,178.5,17.25,24.25,77.5,52.5,7.75,2,0.5,0.5,150.4,0.08,5.08,0.049401427365513,0.000961755715753439
"68",26408,1,"Saturday",13,50,"[3.705401392751692, 51.035918198489846]",3.70540139275169,51.0359181984898,"Sint-Denijslaan","Gent","Oost-Vlaanderen",0.7675,21,6.5,45.5,158.75,12.25,25,63.5,50.5,9,1.5,0.75,0.5,155.8,0.0825,6.6725,0.06470148108357,0.000996286838526502
"69",26408,1,"Saturday",14,50,"[3.705401392751692, 51.035918198489846]",3.70540139275169,51.0359181984898,"Sint-Denijslaan","Gent","Oost-Vlaanderen",0.7825,23.75,12,29.75,163.25,12.5,20.5,61.75,56.75,10.5,2,0.75,2,394.4,0.2225,5.445,0.0542696262758039,0.00252205089290663
"70",26408,1,"Saturday",15,50,"[3.705401392751692, 51.035918198489846]",3.70540139275169,51.0359181984898,"Sint-Denijslaan","Gent","Oost-Vlaanderen",0.7925,25.25,7.25,31.5,163.25,8.75,24.75,70.75,47.75,9.5,1.75,1.25,2.5,497.1,0.28,5.3975,0.0543655513774845,0.00317878169083135
"71",26408,1,"Saturday",16,50,"[3.705401392751692, 51.035918198489846]",3.70540139275169,51.0359181984898,"Sint-Denijslaan","Gent","Oost-Vlaanderen",0.795,24.25,5,31.5,147,13,21.5,64,39.5,9.5,1.5,0,1,183.8,0.105,5.1125,0.0499529967001765,0.00117533710475719
"72",26408,1,"Saturday",17,50,"[3.705401392751692, 51.035918198489846]",3.70540139275169,51.0359181984898,"Sint-Denijslaan","Gent","Oost-Vlaanderen",0.803333333333333,23.6666666666667,3.66666666666667,36.6666666666667,176.666666666667,16,33,72.6666666666667,49,6.33333333333333,0,1.33333333333333,1,237.333333333333,0.13,5.85333333333333,0.0572992607372164,0.00151766416138397
